Team,Level,Season,Age,IP,K9,BB9,KBB,HR9,Kp,BBp,KBBp,AVG,WHIP,BABIP,LOBp,ERA,FIP,EF,xFIP
BAL,AAA,2022.0,26.24,28.5,9.05,4.34,2.44,1.29,0.22,0.1,0.11,0.25,1.84,0.3,0.7,7.97,4.96,3.01,4.84
BAL,CPX,2022.0,21.39,9.55,10.46,6.1,2.06,0.53,0.29,0.15,0.14,0.2,1.49,0.27,0.74,4.95,4.58,0.37,4.55
BAL,DSL,2022.0,19.16,20.59,8.98,6.71,1.97,0.3,0.22,0.15,0.07,0.23,1.65,0.31,0.66,4.66,4.85,-0.18,5.07
BOS,A,2022.0,22.06,32.92,9.75,7.14,2.06,0.52,0.24,0.14,0.1,0.24,1.81,0.32,0.62,7.82,5.21,2.6,5.33
BOS,A+,2022.0,23.69,35.05,9.0,6.28,2.58,0.95,0.22,0.12,0.1,0.27,1.87,0.34,0.68,5.69,5.38,0.31,5.8
BOS,AA,2022.0,25.84,27.24,9.72,4.14,3.6,1.07,0.26,0.1,0.16,0.23,1.44,0.29,0.74,5.02,4.37,0.65,4.56
BOS,AAA,2022.0,27.93,28.65,10.47,4.43,2.83,0.75,0.28,0.11,0.17,0.23,1.46,0.31,0.71,4.93,3.93,1.0,4.35
BOS,CPX,2022.0,22.48,15.05,10.13,5.03,3.11,0.51,0.27,0.11,0.16,0.21,1.42,0.3,0.74,4.29,4.21,0.09,4.34
BOS,DSL,2022.0,18.73,26.89,8.92,5.07,2.7,0.28,0.23,0.12,0.11,0.23,1.43,0.31,0.7,3.39,4.28,-0.89,4.55
CHC,A,2022.0,22.23,29.01,10.8,6.54,2.68,0.58,0.27,0.14,0.12,0.22,1.6,0.31,0.7,5.26,4.77,0.49,4.89
CHC,A+,2022.0,23.7,30.57,10.25,4.51,2.66,0.75,0.27,0.11,0.15,0.21,1.31,0.29,0.73,3.64,4.09,-0.45,4.29
CHC,AA,2022.0,24.76,28.84,9.24,6.58,2.27,1.03,0.24,0.15,0.09,0.25,1.79,0.31,0.75,4.61,5.67,-1.07,5.7
CHC,AAA,2022.0,27.19,24.74,9.64,5.05,2.59,1.12,0.24,0.12,0.12,0.24,1.55,0.31,0.7,5.52,4.91,0.61,4.98
CHC,CPX,2022.0,21.85,10.57,13.14,7.93,2.63,0.39,0.31,0.16,0.15,0.22,1.75,0.34,0.71,5.19,4.92,0.27,5.09
CHC,DSL,2022.0,18.98,20.89,10.23,7.48,1.71,0.61,0.25,0.16,0.09,0.24,1.8,0.31,0.63,5.6,5.27,0.32,5.18
CHW,A,2022.0,23.0,23.31,9.4,5.74,2.59,0.85,0.24,0.12,0.12,0.24,1.68,0.32,0.71,5.46,5.13,0.33,5.11
CHW,A+,2022.0,23.79,29.1,9.05,4.54,2.51,1.07,0.23,0.11,0.11,0.26,1.59,0.33,0.7,5.1,4.84,0.25,4.79
CHW,AA,2022.0,24.61,27.42,10.36,6.87,2.42,1.33,0.24,0.14,0.09,0.27,1.88,0.34,0.67,7.28,6.09,1.2,5.51
CHW,AAA,2022.0,27.74,25.87,8.84,4.69,2.06,1.47,0.22,0.11,0.11,0.26,1.64,0.32,0.69,6.45,5.45,0.99,5.14
CHW,CPX,2022.0,22.4,10.53,10.29,4.64,2.84,0.52,0.28,0.11,0.17,0.21,1.4,0.28,0.68,5.17,4.58,0.6,4.9
CHW,DSL,2022.0,19.1,22.53,8.85,5.3,1.84,0.47,0.21,0.12,0.09,0.26,1.67,0.34,0.58,5.59,4.62,0.97,4.72
CIN,A,2022.0,22.09,33.19,10.27,5.72,2.25,0.63,0.25,0.14,0.12,0.23,1.52,0.31,0.7,4.52,4.46,0.06,4.64
