Name,Team,Level,Age,PA,BB,K,BBK,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC1,wRAA,wOBA,wRC2,PlayerId
"Jose Rodriguez","MIN","DSL",17,219,0.09589041,0.23744292,0.40384615,0.28947368,0.36073059,0.60526316,0.96599375,0.31578948,7.678593734321769,0.32307692,1.0532190762460232,45.5105404860424,13.981917024319076,0.4349071239227574,144.34674111698385,"sa3018555"
"Alfredo Velasquez","BAL","DSL",17,181,0.0718232,0.06629834,1.08333333,0.29559748,0.37016575,0.40251572,0.77268147,0.10691824,8.738245412935408,0.31081081,1.337568549439311,29.360127409974634,3.3022240009704222,0.3788013925868503,112.67263888862738,"sa3018556"
"Jeral Perez","LAD","DSL",17,205,0.11707317,0.16585366,0.70588235,0.27840909,0.37073171,0.5,0.87073171,0.22159091,6.5276022937828255,0.30147059,0.04463325790129602,38.46908459168809,8.955989570440224,0.410106669402704,130.3458162012232,"sa3018557"
"Marvin Alcantara","BOS","DSL",17,224,0.12946429,0.14732143,0.87878788,0.3015873,0.40625,0.3968254,0.8030754,0.0952381,6.269074026611642,0.35897436,1.8668078936170787,40.52584422009162,8.277389172484197,0.40181985524083885,125.6675526324115,"sa3018558"
"Cristian Suarez","ATL","DSL",16,150,0.14,0.14,1,0.22580645,0.35333333,0.29032258,0.64365591,0.06451613,3.2058923981530665,0.26213592,-0.16423658863641322,19.228619389825127,-2.366328186697703,0.3369437805811564,89.04221379416416,"sa3018559"
"Oswaldo Osorio","LAD","DSL",17,187,0.20855615,0.23529412,0.88636364,0.23913043,0.42780749,0.47101449,0.89882198,0.23188406,7.963861161400041,0.3,-1.2851467484142631,39.15400964107324,12.23230832900811,0.4368376559752194,145.43660962290718,"sa3018560"
"Raylin Ramos","BAL","DSL",17,181,0.08287293,0.1160221,0.71428571,0.28846154,0.35911602,0.41025641,0.76937243,0.12179487,6.428146226253352,0.3115942,-0.8832133216783404,28.356112776463025,2.2982093674588144,0.3719763795315231,108.81962501505274,"sa3018561"
"Jose Alpuria","ARI","DSL",17,165,0.11515152,0.31515152,0.36538462,0.17518248,0.31515152,0.24817518,0.5633267,0.0729927,7.884987514383626,0.27380952,-0.27351877884939313,16.442491934993463,-7.311950399181646,0.30182933735124995,69.21859795183629,"sa3018562"
"Andres Nolaya","BAL","DSL",17,117,0.17948718,0.22222222,0.80769231,0.18478261,0.35042735,0.2173913,0.56781865,0.03260869,4.342574740620808,0.25373134,-1.2987355538643897,13.06244794006198,-3.781611169625824,0.3165858556062747,77.5492881792914,"sa3018563"
"Narciso Polanco","TBR","DSL",17,218,0.16513761,0.23853211,0.69230769,0.25142857,0.3853211,0.37714286,0.76246396,0.12571429,7.45748412518275,0.33870968,-0.2632561647333205,35.90472488640042,4.520067741853911,0.3818649649620056,114.40215746514642,"sa3018564"
