Season,Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
2022,"Matt Harvey","BAL","AA",33,10,14.4,0,16,1.8,0.41025641,0,0.41025641,0.23076923,0.9,0.33333333,0.96774194,2.7,2.8149872779846192,-0.11498727798461905,1.4541015386581422,"11713"
2022,"Matt Harvey","BAL","A+",33,6,6,0,4,0,0.2,0,0.2,0.2,0.6666666666666666,0.25,1,0,2.3249477068583175,-2.3249477068583175,3.3138196835915252,"11713"
2022,"Matt Harvey","BAL","AAA",33,54.1,7.12270005327471,3.9754604948510006,1.79166667,2.3190186219964173,0.18534483,0.10344828,0.08189655,0.25242718,1.3987731370772039,0.25503356,0.87328767,4.306748869421917,6.710091979016664,-2.403343109594747,5.460602991441685,"11713"
2022,"Kyle Ryan","STL","AAA",30,48,6.5625,5.4375,1.20689655,1.5,0.15555556,0.12888889,0.02666667,0.28125,1.7291666666666667,0.30872483,0.77836412,4.875,6.278471024831137,-1.4034710248311368,5.558865468452375,"11753"
2022,"Justin Nicolino","CIN","AAA",30,85,5.7176470588235295,2.9647058823529413,1.92857143,1.8,0.14594595,0.07567568,0.07027027,0.29032258,1.4941176470588236,0.3037037,0.70057582,5.823529411764706,5.860578867968391,-0.03704945620368516,5.575876644429039,"11754"
2022,"Drew Smyly","CHC","A+",33,4,13.5,0,6,4.5,0.375,0,0.375,0.25,1,0.25,0.83333333,6.75,6.983361673355103,-0.23336167335510272,2.454450883716345,"11760"
2022,"Hansel Robles","LAD","AAA",31,18,9,7,1.28571429,1,0.21176471,0.16470588,0.04705883,0.22857143,1.6666666666666667,0.28,0.53191489,8,5.799736955430773,2.200263044569227,7.279653109113376,"11801"
2022,"Alberto Baldonado","WSN","AAA",29,63.1,11.510527240193195,3.836842413397732,3,0.7105263728514318,0.3151751,0.10505837,0.21011673,0.2,1.152631671514545,0.28472222,0.65151515,3.836842413397732,3.255006092261738,0.5818363211359938,4.18711894795995,"11812"
2022,"James Paxton","BOS","CPX",33,0.2,0,0,0,0,0,0,0,0,0,0,1,0,3.825284194946289,-3.825284194946289,5.203073208888073,"11828"
2022,"Yadiel Rivera","ARI","AAA",30,1,0,0,0,0,0,0,0,0.4,2,0.4,1,0,3.8552925109863283,-3.8552925109863283,7.904407185316086,"11863"
2022,"Michael Feliz","BOS","AAA",29,24.2,10.216214899602464,3.2837833605865066,3.11111111,0.36486481784294517,0.27722772,0.08910891,0.18811881,0.2173913,1.1756755241606012,0.3015873,0.6884058,3.2837833605865066,2.858989126443678,0.4247942341428286,3.6058227489046075,"11903"
2022,"Michael Feliz","MIN","AAA",29,24.2,8.756755628230684,3.6486481784294518,2.4,0,0.25,0.10416667,0.14583333,0.14285714,0.8918917769494216,0.2,0.66666667,2.189188907057671,3.0211512677072094,-0.8319623606495385,4.630238318108143,"11903"
